ficha,sku,description,uom_primary,piece_count,length_inches,width_inches,height_inches,weight_lbs,assembly,rate
724,1720813-0132,MDF ST LX C2-- 2465X1245X05.7MM P/EF/132,BUNDLE,250,96,39,29.65,3945.22,false,15.16
987,1720814-0248,PINE CLR VG 2X4X8FT KD SELECT,BUNDLE,200,96,42,36.00,2850.50,false,16.18
337,1720815-0156,OAK RED FAS 4/4 RGH KD 8-12FT,PALLET,150,120,48,42.00,4125.75,false,15.16
778,1720816-0089,SPRUCE DIMENSION 2X6X12FT #2BTR,BUNDLE,180,144,36,30.00,3280.00,false,14.50
187,1720817-0234,CEDAR WRC CVG 1X6X8FT CLR S4S,BUNDLE,300,96,36,24.00,1890.25,false,20.06
223,1720818-0167,MAPLE HARD FAS 5/4 RGH KD 10FT,PALLET,120,120,48,38.00,3750.80,false,16.18
876,1720819-0312,PLYWOOD BALTIC BIRCH 3/4X4X8,PALLET,45,96,48,36.00,2980.00,false,17.02
223,1720820-0098,POPLAR FAS 4/4 RGH KD 8-14FT,BUNDLE,175,144,42,32.00,2650.40,false,16.14
991,1720821-0445,WALNUT BLK FAS 4/4 RGH KD 8FT,PALLET,80,96,48,28.00,2240.60,false,12.14
901,1720822-0223,DOUGLAS FIR CVG 2X10X16FT #1,BUNDLE,100,192,48,40.00,4580.90,false,16.18
